Date,"Cushing, OK Crude Oil Future Contract ($/Bar.)",U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Gross Inputs to Refineries (1k Bar./Day),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Idle Crude Oil Distillation Capacity (1k Bar./Day),Percent Utilization of Refinery Operable Capacity,"Cushing, OK WTI Spot Price FOB ($/Bar.)"
11/1/2013,93.9,237602,584641,16135,17820,17625,195,90.6,93.9
12/1/2013,97.9,245947,589181,16377,17820,17610,209,91.9,97.6
1/1/2014,94.9,250425,592179,15649,17925,17730,194,87.3,94.6
2/1/2014,100.7,228401,529329,15518,17925,17691,234,86.6,100.8
3/1/2014,100.5,257220,572013,15390,17931,17659,272,85.8,100.8
4/1/2014,102,255795,565032,16264,17951,17725,226,90.6,102.1
5/1/2014,101.8,267996,576636,16197,17951,17453,498,90.2,102.2
6/1/2014,105.1,262288,566345,16087,17825,17579,246,90.3,105.8
7/1/2014,102.4,274131,596659,16880,17835,17678,157,94.7,103.6
8/1/2014,96.1,276813,600526,16707,17835,17563,272,93.7,96.5
9/1/2014,93,272571,576110,16358,17835,17678,157,91.7,93.2
10/1/2014,84.3,287193,610719,15660,17851,17466,385,87.7,84.4
11/1/2014,75.8,279793,581811,16367,17811,17672,139,91.9,75.8
12/1/2014,59.3,296480,604310,16751,17811,17635,177,94.1,59.3
1/1/2015,47.3,290856,597459,15767,17967,17768,200,87.8,47.2
2/1/2015,50.7,266115,550869,15635,17950,17644,305,87.1,50.6
3/1/2015,47.9,297040,599815,15878,17950,17461,488,88.5,47.8
4/1/2015,54.6,289735,577827,16521,17962,17489,472,92,54.5
5/1/2015,59.4,293683,598991,16612,17962,17819,142,92.5,59.3
6/1/2015,59.8,280747,595390,16924,18056,17873,183,93.7,59.8
7/1/2015,50.9,292813,623682,17185,18097,17962,135,95,50.9
8/1/2015,42.9,291691,617749,16962,18098,17977,121,93.7,42.9
9/1/2015,45.5,284398,583075,16427,18138,18028,110,90.6,45.5
10/1/2015,46.3,291410,603560,15691,18133,17939,194,86.5,46.2
11/1/2015,42.9,279975,573163,16683,18186,17860,326,91.7,42.4
12/1/2015,37.3,287528,607466,16842,18186,18044,142,92.6,37.2
1/1/2016,31.8,285245,590952,16297,18317,18165,152,89,31.7
2/1/2016,30.6,262841,575396,16179,18317,18095,222,88.3,30.3
3/1/2016,38,281716,612347,16287,18319,18074,245,88.9,37.5
4/1/2016,41.1,266122,580388,16223,18319,17606,713,88.6,40.8
5/1/2016,46.8,273781,599120,16477,18319,18085,234,89.9,46.7
6/1/2016,48.8,260163,594972,16803,18433,18181,252,91.2,48.8
7/1/2016,44.8,268470,612364,17000,18433,18281,152,92.2,44.7
8/1/2016,44.8,269331,628109,16976,18433,18313,120,92.1,44.7
9/1/2016,45.2,256249,593243,16687,18456,18326,130,90.4,45.2
10/1/2016,49.9,272860,610208,15783,18471,18180,291,85.4,49.8
